molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1685073,COC1=C(OC)[C@]2(OC)c3c(OC)c(OC)c4c(c3O[C@@]23O[C@@H](c2ccccc2)CC=C3C1=O)[C@@H](OC)C[C@H](c1ccccc1)O4,16000.0,inactive
CHEMBL1685074,COc1c2c(c3c(c1OC)[C@@]1(OC)C4=C(C(=O)[C@H](OC)[C@@]1(OC)O3)[C@H](OC)C[C@@H](c1ccccc1)O4)[C@H](O)C[C@@H](c1ccccc1)O2,29000.0,inactive
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,210.0,intermediate
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,940.0,inactive
CHEMBL476292,COc1ccc2c(c1)C(=O)CC(c1ccccc1)O2,46000.0,inactive
CHEMBL254613,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,31000.0,inactive
CHEMBL107131,COc1cc(OC)c2c(c1)OC(c1ccccc1)CC2=O,32000.0,inactive
CHEMBL1556958,Cc1c(O)cc2c(c1O)C(=O)CC(c1ccccc1)O2,26000.0,intermediate
CHEMBL1685067,COc1cc2c(c(O)c1C)C(=O)CC(c1ccccc1)O2,12000.0,active
CHEMBL1685068,COc1cc(OC)c2c(c1C)OC(c1ccccc1)CC2=O,17000.0,active
CHEMBL275638,O=c1cc(-c2ccccc2)oc2ccccc12,26000.0,inactive
CHEMBL137586,COc1ccc2oc(-c3ccccc3)cc(=O)c2c1,10000.0,inactive
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5900.0,intermediate
CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,2600.0,intermediate
CHEMBL275391,COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1,11000.0,intermediate
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,6200.0,inactive
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,7600.0,inactive
CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,49000.0,inactive
CHEMBL165509,COc1cc2oc(-c3ccc(O)cc3)c(OC)c(=O)c2c(O)c1OC,2000.0,inactive
CHEMBL74898,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(O)c3)oc2c1,680.0,inactive
CHEMBL77966,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,900.0,active
CHEMBL73930,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,17000.0,intermediate
CHEMBL226507,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,8300.0,inactive
CHEMBL76447,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,4400.0,inactive
CHEMBL77993,COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(OC)c3c(=O)c2OC)cc1OC,1600.0,intermediate
CHEMBL76553,COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1C,2800.0,inactive
CHEMBL1685069,COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1C,8000.0,inactive
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,8800.0,inactive
CHEMBL1685072,COC1=C(OC)[C@]2(OC)c3c(OC)c(OC)c4c(c3O[C@@]23O[C@@H](c2ccccc2)CC=C3C1=O)[C@@H](O)C[C@H](c1ccccc1)O4,15000.0,inactive
CHEMBL1685073,COC1=C(OC)[C@]2(OC)c3c(OC)c(OC)c4c(c3O[C@@]23O[C@@H](c2ccccc2)CC=C3C1=O)[C@@H](OC)C[C@H](c1ccccc1)O4,47000.0,inactive
CHEMBL1685074,COc1c2c(c3c(c1OC)[C@@]1(OC)C4=C(C(=O)[C@H](OC)[C@@]1(OC)O3)[C@H](OC)C[C@@H](c1ccccc1)O4)[C@H](O)C[C@@H](c1ccccc1)O2,40000.0,inactive
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,390.0,active
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,1500.0,active
CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,6000.0,active
CHEMBL1689340,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)cc1O,6600.0,active
CHEMBL1689341,CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)C[C@@H](c1cc(O)cc(O)c1)O2,4100.0,active
CHEMBL1689342,CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c2c1O[C@H](c1cc(O)cc(O)c1)CC2=O,15500.0,active
CHEMBL556429,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)cc1,22600.0,active
