molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4164537,COc1ccc(Nc2nc(-c3ccc([N+](=O)[O-])cc3)nc3ccccc23)cc1OC,active,402.41000000000014,4.965800000000003,1.0,7.0,5.508638306165727
CHEMBL4172857,CC(=O)Nc1cccc(Nc2nc(-c3cccc(C#N)c3)nc3ccccc23)c1,active,379.42300000000006,4.870480000000002,2.0,5.0,5.844663962534939
CHEMBL4159527,COc1ccccc1-c1nc(Nc2cccc([N+](=O)[O-])c2)c2ccccc2n1,active,372.38400000000007,4.957200000000003,1.0,6.0,5.97469413473523
CHEMBL4166863,COc1cccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)c1,active,372.38400000000007,4.957200000000004,1.0,6.0,4.619788758288394
CHEMBL4171304,COc1cccc(-c2nc(Nc3ccc(OC)c(OC)c3)c3ccccc3n2)c1,active,387.43900000000014,5.066200000000004,1.0,6.0,4.962573502059376
CHEMBL4159635,COc1ccc(-c2nc(Nc3ccc(OC)c(OC)c3)c3ccccc3n2)cc1,active,387.4390000000001,5.066200000000004,1.0,6.0,5.826813731587726
CHEMBL3092485,COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,active,402.41000000000014,4.965800000000004,1.0,7.0,4.7121982700697735
CHEMBL3092486,COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC,active,402.41000000000014,4.965800000000004,1.0,7.0,5.528708288941061
CHEMBL4159327,O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3ccccc3)c2c1,active,342.35800000000006,4.9486000000000026,1.0,5.0,6.97469413473523
CHEMBL4160408,COc1cccc(Nc2nc(-c3ccccc3)nc3ccc([N+](=O)[O-])cc23)c1,inactive,372.3840000000001,4.957200000000003,1.0,6.0,7.480172006224281
CHEMBL4171017,COc1ccc(Nc2nc(-c3ccccc3)nc3ccc([N+](=O)[O-])cc23)cc1OC,inactive,402.4100000000002,4.965800000000003,1.0,7.0,7.431798275933005
CHEMBL4174458,N#Cc1ccc(Nc2nc(-c3ccccc3)nc3ccc([N+](=O)[O-])cc23)cc1,inactive,367.3680000000001,4.820280000000003,1.0,6.0,7.317854923626168
CHEMBL4172063,O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3cccc(F)c3)c2c1,inactive,360.34800000000007,5.0877000000000026,1.0,5.0,7.288192770958809
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,inactive,469.58200000000033,3.6373000000000024,2.0,5.0,6.6439741428068775
CHEMBL1194993,c1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,active,297.36100000000005,5.040400000000003,1.0,3.0,6.054531414868181
CHEMBL4171155,COc1cccc(Nc2nc(-c3cccnc3)nc3ccc(NC(=O)c4cccnc4)cc23)c1,active,448.48600000000016,5.091300000000003,2.0,7.0,5.982966660701219
CHEMBL4161772,COc1ccc(Nc2nc(-c3cccnc3)nc3ccc(NC(=O)c4cccc([N+](=O)[O-])c4)cc23)cc1,active,492.49500000000023,5.604500000000003,2.0,8.0,5.790484985457369
CHEMBL4172412,COc1cccc(Nc2nc(-c3cccnc3)nc3ccc(NC(=O)c4cccc([N+](=O)[O-])c4)cc23)c1,active,492.49500000000023,5.604500000000003,2.0,8.0,5.939302159646388
CHEMBL4165209,COc1cccc(Nc2nc(-c3cccnc3)nc3ccc(/N=C(\C)OC(C)=O)cc23)c1,active,427.4640000000002,5.057000000000004,1.0,8.0,5.274905478918531
CHEMBL4167361,COc1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc(N)cc23)c1,active,410.3990000000001,5.650000000000003,2.0,5.0,6.078313524516398
CHEMBL4173540,Nc1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3cccc(O)c3)c2c1,active,396.37200000000007,5.347000000000003,3.0,5.0,6.097453220686009
CHEMBL4165609,Nc1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3ccccc3)c2c1,active,380.37300000000005,5.641400000000003,2.0,4.0,6.139063379299906
CHEMBL4176905,COc1ccc(Nc2nc(-c3cccnc3)nc3ccc(N)cc23)cc1,active,343.3900000000001,4.026200000000001,2.0,6.0,6.189767482004916
CHEMBL4169043,COc1cccc(Nc2nc(-c3cccnc3)nc3ccc(N)cc23)c1,active,343.3900000000001,4.026200000000001,2.0,6.0,6.432973633840939
CHEMBL4164845,COc1ccc(-c2nc(Nc3cccc(C(F)(F)F)c3)c3cc([N+](=O)[O-])ccc3n2)cc1OC,active,470.4070000000002,5.984600000000004,1.0,7.0,7.242603971206976
CHEMBL4172752,COc1cccc(-c2nc(Nc3cccc(F)c3)c3cc([N+](=O)[O-])ccc3n2)c1,active,390.37400000000014,5.096300000000004,1.0,6.0,7.6307841425898575
CHEMBL4163310,COc1cccc(-c2nc(Nc3ccc(C#N)cc3)c3cc([N+](=O)[O-])ccc3n2)c1,active,397.3940000000002,4.828880000000003,1.0,7.0,7.555955204081924
CHEMBL4171213,CC(=O)Nc1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc([N+](=O)[O-])cc23)c1,active,467.4070000000001,5.925800000000003,2.0,6.0,7.348721986001856
CHEMBL4166754,O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3ccc(O)c([N+](=O)[O-])c3)c2c1,active,471.35100000000017,5.581200000000003,2.0,8.0,7.481486060122112
CHEMBL4175064,O=[N+]([O-])c1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc([N+](=O)[O-])cc23)c1,active,455.35200000000015,5.875600000000003,1.0,7.0,7.178486471595227
CHEMBL4164420,O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3cccc(F)c3)c2c1,inactive,428.3450000000001,6.106500000000001,1.0,5.0,7.348721986001856
